step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
220000,1.5882,4344064,4_12_256_128,4,12,256,128,False,True
240000,1.5796,4344064,4_12_256_128,4,12,256,128,False,True
260000,1.5739,4344064,4_12_256_128,4,12,256,128,False,True
280000,1.5682,4344064,4_12_256_128,4,12,256,128,False,True
300000,1.5624,4344064,4_12_256_128,4,12,256,128,False,True
320000,1.5574,4344064,4_12_256_128,4,12,256,128,False,True
340000,1.5505,4344064,4_12_256_128,4,12,256,128,False,True
360000,1.5446,4344064,4_12_256_128,4,12,256,128,False,True
380000,1.5386,4344064,4_12_256_128,4,12,256,128,False,True
400000,1.5347,4344064,4_12_256_128,4,12,256,128,False,True
420000,1.5312,4344064,4_12_256_128,4,12,256,128,False,True
440000,1.5264,4344064,4_12_256_128,4,12,256,128,False,True
460000,1.5232,4344064,4_12_256_128,4,12,256,128,False,True
480000,1.5195,4344064,4_12_256_128,4,12,256,128,False,True
500000,1.5176,4344064,4_12_256_128,4,12,256,128,False,True
520000,1.515,4344064,4_12_256_128,4,12,256,128,False,True
540000,1.5122,4344064,4_12_256_128,4,12,256,128,False,True
560000,1.5109,4344064,4_12_256_128,4,12,256,128,False,True
580000,1.5081,4344064,4_12_256_128,4,12,256,128,False,True
600000,1.5069,4344064,4_12_256_128,4,12,256,128,False,True
620000,1.503,4344064,4_12_256_128,4,12,256,128,False,True
640000,1.5007,4344064,4_12_256_128,4,12,256,128,False,True
660000,1.4994,4344064,4_12_256_128,4,12,256,128,False,True
680000,1.4979,4344064,4_12_256_128,4,12,256,128,False,True
700000,1.4955,4344064,4_12_256_128,4,12,256,128,False,True
720000,1.494,4344064,4_12_256_128,4,12,256,128,False,True
740000,1.4932,4344064,4_12_256_128,4,12,256,128,False,True
760000,1.4918,4344064,4_12_256_128,4,12,256,128,False,True
780000,1.4902,4344064,4_12_256_128,4,12,256,128,False,True
800000,1.4889,4344064,4_12_256_128,4,12,256,128,False,True
820000,1.4882,4344064,4_12_256_128,4,12,256,128,False,True
840000,1.487,4344064,4_12_256_128,4,12,256,128,False,True
860000,1.486,4344064,4_12_256_128,4,12,256,128,False,True
880000,1.484,4344064,4_12_256_128,4,12,256,128,False,True
900000,1.4832,4344064,4_12_256_128,4,12,256,128,False,True
20000,2.0498,3699648,6_10_192_384,6,10,192,384,False,False
40000,1.8171,3699648,6_10_192_384,6,10,192,384,False,False
60000,1.7523,3699648,6_10_192_384,6,10,192,384,False,False
80000,1.7091,3699648,6_10_192_384,6,10,192,384,False,False
100000,1.6786,3699648,6_10_192_384,6,10,192,384,False,False
120000,1.6555,3699648,6_10_192_384,6,10,192,384,False,False
140000,1.6384,3699648,6_10_192_384,6,10,192,384,False,False
160000,1.6234,3699648,6_10_192_384,6,10,192,384,False,False
180000,1.6118,3699648,6_10_192_384,6,10,192,384,False,False
200000,1.6009,3699648,6_10_192_384,6,10,192,384,False,False
220000,1.592,3699648,6_10_192_384,6,10,192,384,False,False
240000,1.583,3699648,6_10_192_384,6,10,192,384,False,False
260000,1.5768,3699648,6_10_192_384,6,10,192,384,False,False
280000,1.5708,3699648,6_10_192_384,6,10,192,384,False,False
300000,1.5649,3699648,6_10_192_384,6,10,192,384,False,False
320000,1.5593,3699648,6_10_192_384,6,10,192,384,False,False
340000,1.5525,3699648,6_10_192_384,6,10,192,384,False,False
